Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
gettare;V#34244;V#2115;3;3;1.00;1.00;0.00;0.00;0.00;allontanare  mandare al macero  roba rotta  vecchia  inservibile
gettare;V#34245;V#2116;4;4;1.00;1.00;0.00;0.00;0.00;versare  far colare in uno stampo materiale fuso
gettare;V#49946;V#2118;6;6;1.00;1.00;0.00;0.00;0.00;causare un cambiamento negativo  mettere in una condizione peggiore 
Giovanni_Caboto;NP#47276;NP#1250;1;1;1.00;1.00;0.00;0.00;0.00;navigatore 14201498 nato forse a genova
Giovanni_da_Verrazzano;NP#45553;NP#1251;1;1;1.00;1.00;0.00;0.00;0.00;navigatore firenze 14851528
impedimento;N#1842;N#2125;1;1;1.00;1.00;0.00;0.00;0.00;impedimento non fisico 
intermediatore;N#4338;N#263;1;1;1.00;1.00;0.00;0.00;0.00;chi fa da tramite tra due o più persone
lago;N#22484;N#2620;1;1;1.00;1.00;0.00;0.00;0.00;massa d acqua circondata dalla terra
listino;N#15092;N#261;1;1;1.00;1.00;0.00;0.00;0.00;elenco dei prezzi
mal_di_mare;N#5634;N#1408;1;1;1.00;1.00;0.00;0.00;0.00;mal di mare
marina;N#22041;N#2243;4;4;1.00;1.00;0.00;0.00;0.00;quadro raffigurante un paesaggio di mare
meteorologicamente;AV#48897;AV#2574;1;1;1.00;1.00;0.00;0.00;0.00;per quanto riguarda la meteorologia
meteorologico;AG#43363;AG#2575;1;1;1.00;1.00;0.00;0.00;0.00;relativo alla meteorologia
militare;AG#45428;AG#1977;1;1;1.00;1.00;0.00;0.00;0.00;attinente all arma o ai soldati
missiva;N#8367;N#260;1;1;1.00;1.00;0.00;0.00;0.00;testo epistolare
movimento;N#5451;N#2280;4;4;1.00;1.00;0.00;0.00;0.00;ciascuna parte  caratterizzata da un ritmo diverso  di una composizione musicale
Nave_Argo;NP#45527;NP#28;1;1;1.00;1.00;0.00;0.00;0.00;costellazione australe
percorrere;V#32707;V#2687;2;2;1.00;1.00;0.00;0.00;0.00;percorrere una distanza
periplo;N#5585;N#2686;2;2;1.00;1.00;0.00;0.00;0.00;nella letteratura grecolatina  descrizione di un viaggio marittimo
pesca;N#21312;N#2027;4;4;1.00;1.00;0.00;0.00;0.00;tipo di lotteria
