Shared Lemma;MarT_WM_ID;IWN_WM_ID
fattura;N#255;N#9099
Felixstowe;NP#1144;NP#47860
fenomeno_atmosferico;N#1009;N#14356
fenomeno_naturale;N#2505;N#18656
fermare;V#651;V#50052
Ferrol;NP#1145;NP#48361
fianco;N#462;N#30289
fiera;N#2080;N#19944
Filadelfia;NP#2163;NP#47630
filare;V#191;V#35728
finale;N#2103;N#29652
fine;N#2619;AG#41761
fiocco;N#353;N#1134
fischio;N#1480;N#7676
Fiume;NP#2340;NP#48488
fiume;N#1481;N#30299
Fiumicino;NP#2371;NP#46447
Fleetwood;NP#1146;NP#48485
fondale;N#187;N#12756
fondo;N#188;N#1044
Formia;NP#2372;NP#47848
formula;N#515;N#16953
fortunale;N#2094;N#3095
forza;N#1988;N#10463
foschia;N#1493;N#25152
franchigia;N#256;N#8106
franco;AV#634;N#30369
frangente;N#1495;N#16099
Fredericia;NP#1147;NP#47079
Frederikshavn;NP#1148;NP#47685
Freetown;NP#1149;NP#47757
fregata;N#554;N#49594
Freja;NP#1048;NP#47649
frequenza;N#2304;N#6930
furgone;N#2616;N#21640
fuso;N#1388;N#11307
gabbia;N#666;N#20299
gala;N#1825;N#9823
galea;N#2697;N#20773
galleggiamento;N#1502;N#27809
galleggiante;N#379;N#1223
Gand;NP#1150;NP#47045
gas;N#2076;N#24744
gasolio;N#2077;N#2739
gavitello;N#101;N#18412
Genova;NP#2373;NP#46866
germogliare;V#2117;V#35062
gettare;V#2118;V#49946
ghibli;N#2518;N#26643
giacenza;N#2185;N#3440
Gibuti;NP#1152;NP#46244
Gioia_Tauro;NP#2374;NP#46922
Giovanni_Caboto;NP#1250;NP#47276
Giovanni_da_Verrazzano;NP#1251;NP#45553
girare;V#1976;V#38940
Glasgow;NP#1154;NP#48326
goletta;N#1517;N#10371
golfo;N#1518;N#29025
Golfo_Arabico;NP#1198;NP#45582
gomena;N#1519;N#20133
gondola;N#170;N#18890
Goole;NP#1155;NP#46999
Goteborg;NP#2428;NP#48021
governale;N#222;N#20600
governare;V#2722;V#35400
gozzo;N#374;N#5389
grado_centesimale;N#1893;N#50197
grandezza;N#501;N#15257
grandine;N#2535;N#28006
Grangemouth;NP#1156;NP#47475
granito;N#2078;N#29487
grappino;N#680;N#1467
Great_Yarmouth;NP#1157;NP#45846
grecale;N#1004;N#7398
Greenock;NP#1158;NP#46349
grillo;N#1531;N#18843
grosso;AG#1809;AG#50013
gru;N#775;N#31747
guidone;N#1537;N#8044
guscio;N#1539;N#49454
Halmstad;NP#1159;NP#45920
Haugesund;NP#1160;NP#47561
Helsinki;NP#2344;NP#46946
Honolulu;NP#1161;NP#48364
Hudson;NP#1313;NP#46768
Hull;NP#1162;NP#47965
Ibiza;NP#1132;NP#48240
idrodinamica;N#1564;N#20594
idrografia;N#1565;N#24894
idroplano;N#172;N#936
idroscalo;N#1567;N#1708
idroscivolante;N#173;N#28308
idrostatica;N#1569;N#31061
idrovolante;N#1571;N#18018
igrometro;N#1572;N#13806
imballo;N#258;N#4701
imbarcare;V#616;V#32560
imbarcarsi;V#55;V#36984
imbarcatoio;N#57;N#15111
imbarcazione;N#58;N#5211
imbarco;N#2253;N#27869
imbracare;V#1585;V#33363
imbrogliare;V#1587;V#33825
imbuto;N#1601;N#17296
immergersi;V#1602;V#33288
immersione;N#639;N#7598
Immingham;NP#1163;NP#47376
impedimento;N#2125;N#3579
impermeabile;AG#1618;AG#44287
impianto;N#1619;N#25059
impiombare;V#2640;V#40405
impiombatura;N#1609;N#10726
import;N#2183;N#6122
importuoso;AG#1860;AG#44430
imposizione;N#273;N#17461
incagliarsi;V#1440;V#40012
incidente;N#2131;N#29895
inclinazione;N#633;N#16088
incocciare;V#1627;V#37016
incrociare;V#1630;V#37375
incrociatore;N#552;N#49585
incrocio;N#1629;N#819
indicatore;N#1614;N#22862
indice;N#1615;N#12561
inerente;AG#127;AG#43026
inferire;V#1465;V#32637
informativa;N#2645;N#12808
informazione;N#2398;N#13397
infrastruttura;N#2011;N#27723
ingaggio;N#1631;N#20810
insenatura;N#1616;N#30695
insieme;N#635;N#3134
intercontinentale;AG#2637;AG#44848
intermediatore;N#263;N#4338
invasatura;N#1632;N#7244
investimento;N#1352;N#24057
investire;V#340;V#40700
iole;N#174;N#9969
Ionio;NP#1964;NP#47260
Ipswich;NP#1164;NP#46722
isobara;N#1607;N#15928
isola;N#2690;N#25993
Isole_Ciclopi;NP#2589;NP#46489
Isole_Egadi;NP#2601;NP#46122
Isole_Tremiti;NP#2591;NP#48610
isoterma;N#1605;N#16150
Istanbul;NP#1165;NP#46741
istmo;N#1604;N#8469
Kalmar;NP#1166;NP#46836
Karlstad;NP#1167;NP#45538
Kiel;NP#2455;NP#46335
La_Valletta;NP#1169;NP#48214
lago;N#2620;N#22484
lamiera;N#2072;N#11162
lancia;N#1339;N#24022
lanciamissili;N#560;N#49590
lanciarazzi;N#1340;N#15566
landa;N#1635;N#5070
larghezza;N#1636;N#11632
Larne;NP#1170;NP#47336
Las_Palmas;NP#1171;NP#47213
lasco;AG#1637;N#31267
latitudine;N#1361;N#20531
lavoratore;N#482;N#21748
Le_Havre;NP#1172;NP#45987
legno;N#1646;N#50324
Leith;NP#1173;NP#46678
levante;N#2517;N#6372
Limerick;NP#1188;NP#45573
linea;N#2285;N#10008
lino;N#724;N#9923
liquidazione;N#527;N#20463
Lisbona;NP#660;NP#47627
listino;N#261;N#15092
Liverpool;NP#1189;NP#46845
Livorno;NP#121;NP#47742
logistica;N#2002;N#16278
Londonderry;NP#1190;NP#45857
Londra;NP#2421;NP#45891
longitudine;N#1360;N#958
lossodromia;N#1643;N#25275
Lowestoft;NP#1191;NP#46324
Lubecca;NP#1192;NP#45516
Luderitz;NP#1193;NP#47407
lunghezza;N#1644;N#30588
luogo;N#205;N#14258
madiere;N#1342;N#3653
Madras;NP#1194;NP#46234
maestrale;N#991;N#17237
magazzino;N#262;N#16462
mal_di_mare;N#1408;N#5634
Malaga;NP#1195;NP#47010
Malmoe;NP#1196;NP#45580
Manchester;NP#2422;NP#46145
manifestazione;N#2134;N#25811
manifesto;N#696;N#20167
mano;N#2018;N#7300
manovra;N#638;N#49704
manovrabile;AG#1382;AG#50097
manovrare;V#708;V#32467
manutenzione;N#1710;N#3042
mappa;N#1134;N#7647
Maputo;NP#1206;NP#48018
Mar dei Caraibi;NP#2053;NP#46915
Mar dei Sargassi;NP#2056;NP#50727
Mar_Baltico;NP#2059;NP#45854
Mar_Cinese_Meridionale;NP#2060;NP#47901
Mar_Cinese_Orientale;NP#2061;NP#46081
Mar_dei_Coralli;NP#2062;NP#47030
Mar_del_Giappone;NP#2063;NP#45797
Mar_del_Nord;NP#2064;NP#46688
Mar_di_Sardegna;NP#2065;NP#46326
Mar_Eussino;NP#2066;NP#47011
Mar_Giallo;NP#2067;NP#47948
Mar_Nero;NP#2068;NP#46583
Mar_Rosso;NP#2069;NP#47639
marcia;N#1387;N#6693
mare;N#2728;N#12665
Mare-Nostrum;NP#2055;NP#46524
marea;N#192;N#27207
mareggiata;N#1174;N#9059
mareografo;N#2551;N#29021
maretta;N#748;N#7270
marina;N#2243;N#22041
Marina_di_Carrara;NP#50;NP#46289
marinaio;N#54;N#49706
marinaro;N#52;AG#41360
marmo;N#2049;N#1444
marra;N#669;N#31285
Marsiglia;NP#2145;NP#47922
marò;N#2717;N#9042
Mascat;NP#1207;NP#45811
materiale;N#1645;AG#45319
mattone;N#2119;N#30731
Mazara_del_Vallo;NP#1208;NP#47784
medico di bordo;N#803;N#50532
Mercato_Comune_Europeo;NP#2354;NP#46117
meridiano;N#1719;N#7290
messaggio;N#1445;N#16880
Messina;NP#2448;NP#45816
meteorologia;N#988;N#8736
meteorologicamente;AV#2574;AV#48897
meteorologico;AG#2575;AG#43363
meteorologo;N#2576;N#30303
meteoropatia;N#2577;N#28723
meteoropatico;AG#2578;AG#50781
mezzo;N#2073;AG#49950
miglio;N#1176;N#8702
Milazzo;NP#2379;NP#48636
Milford_Haven;NP#1209;NP#46030
militare;N#2142;AG#45428
millibar;N#1259;N#17817
minerale;N#2074;N#27801
Miramare;NP#2592;NP#47375
missiva;N#260;N#8367
mistral;N#1262;N#12804
misurare;V#1007;V#38837
mittente;N#487;N#31209
mollare;V#1263;V#34659
molo;N#194;N#28444
Monfalcone;NP#1211;NP#46867
Monopoli;NP#1212;NP#48283
monotipo;N#1723;N#1525
monsone;N#2499;N#17557
Montego_Bay;NP#1213;NP#48570
morire;V#2709;V#33565
Morse;NP#290;NP#49517
moschettone;N#1724;N#18388
moto;N#1789;N#27988
motore;N#195;N#4887
motoscafo;N#539;N#22349
movimento;N#2280;N#5452
mozzo;N#812;N#8823
muovere;V#1430;V#34893
muoversi;V#2573;V#35648
murata;N#459;N#13132
muro;N#2126;N#17692
Nacala;NP#1214;NP#46772
nadir;N#1344;N#25339
Nakskov;NP#1215;NP#47657
Namibe;NP#1216;NP#47003
Nantes;NP#1217;NP#46318
Napoli;NP#2380;NP#45605
naufragare;V#1522;V#37343
naufragio;N#1523;N#29731
naufrago;N#1524;N#8810
nautica;N#1525;N#21913
navale;AG#10;AG#41664
navalmeccanica;N#11;N#13779
nave;N#6;N#23462
nave a carroponte;N#13;N#49616
nave autosbarcante;N#14;N#49652
nave bacino;N#15;N#49671
nave da crociera;N#17;N#49669
nave frigo;N#18;N#49661
nave militare;N#20;N#49583
nave per carico secco;N#22;N#49649
nave Roll on-Roll off;N#25;N#49653
Nave_Argo;NP#28;NP#45527
nave_da_pesca;N#29;N#6497
navetta;N#32;N#17401
navetta_spaziale;N#33;N#17402
navicella;N#34;N#27992
navigabile;AG#36;AG#45433
navigabilità;N#37;N#6947
navigare;V#2688;V#50003
navigatore;N#2689;N#19404
navigazione;N#45;N#49711
navigazione astronomica;N#473;N#49713
navigazione d'altura;N#206;N#49710
navigazione mista;N#207;N#49712
navigazione piana;N#474;N#49714
navigazione stimata;N#475;N#49715
navigazione strumentale;N#476;N#49716
nebbia;N#1527;N#9537
nembo;N#1528;N#8727
nembostrato;N#2542;N#30998
neve;N#2496;N#51349
Newport;NP#1219;NP#47868
nodo;N#390;N#9240
noleggiare;V#315;V#38789
nolo;N#820;N#9199
nord-est;N#999;N#1936
North_Atlantic_Treaty_Organization_(Organizzazione_del_Trattato_nord_atlantico);NP#2355;NP#48423
nostromo;N#810;N#11089
nube;N#963;N#2688
nulla_osta;N#516;N#29240
numero;N#2724;N#17389
nuvolosità;N#2528;N#27957
Nyborg;NP#1220;NP#48501
oblò;N#852;N#14227
occaso;N#1000;N#19554
occhiello;N#855;N#9336
Oceania;NP#2633;NP#46037
oceano;N#2014;N#4824
Odense;NP#1221;NP#48464
oggetto;N#645;N#4716
Olbia;NP#2256;NP#47409
olimpiade;N#2082;N#27964
olio;N#2178;N#24826
omaggio;N#2129;N#22088
onda;N#1496;N#27475
ora;N#2279;AV#48835
orario;N#2282;N#3345
organico;N#1258;AG#44281
organismo;N#2023;N#25450
organizzazione;N#2353;N#1174
Organizzazione_delle_Nazioni_Unite;NP#2356;NP#45786
orientare;V#857;V#32228
oriente;N#1001;N#6373
ormeggiare;V#202;V#34974
ormeggio;N#529;N#49809
orza;N#847;N#16159
orzata;N#848;N#22952
Oslo;NP#1222;NP#47196
Ostenda;NP#1223;NP#46217
osteriggio;N#850;N#9189
ostro;N#997;N#18679
ottante;N#2174;N#49619
Owendo;NP#1224;NP#48439
Pacifico;NP#2016;NP#46429
paese;N#2671;N#16107
pagaia;N#1538;N#30993
pagliolo;N#858;N#27670
Palermo;NP#2382;NP#47527
paranco;N#910;N#22288
parco_naturale;N#2622;N#2558
parete;N#796;N#11001
Parigi;NP#2351;NP#47556
parola;N#2245;N#26082
parrocchetto;N#667;N#27699
parte;N#421;N#12349
partecipazione;N#1447;N#13592
partenza;N#2286;N#30957
partire;V#2287;V#32349
passascotte;N#1542;N#22909
passerella;N#1545;N#4261
patino;N#540;N#7612
Patrasso;NP#2411;NP#45603
Penisola_del_Sinis-Isola_Mal_di_Ventre;NP#2593;NP#46310
penna;N#1548;N#5025
pennone;N#881;N#9462
Pensacola;NP#1225;NP#45491
percorrere;V#2687;V#32708
percorso;N#2727;N#6496
periodo;N#2272;N#12102
periplo;N#2686;N#5585
persona;N#2132;N#49693
perturbazione;N#2504;N#27172
pesata;N#2024;N#80
pesca;N#2027;N#21312
pescaia;N#2028;N#18909
pescare;V#1550;V#37044
pescato;N#2029;N#10667
pescatore;N#2031;N#2629
pesce;N#2034;N#49143
pesce_angelo;N#2035;N#30544
pesce_volante;N#2036;N#10202
pescecane;N#2037;N#1191
pescheria;N#2038;N#27210
peschiera;N#2039;N#14849
pesciaiola;N#2040;N#26738
peseta;N#2042;N#8883
pesista;N#2043;N#10888
pesistica;N#2044;N#23181
peso;N#2045;N#31194
petroliera;N#859;N#49647
piano;N#1562;AG#42678
picco;N#1552;N#11590
piede;N#1556;N#24695
pilotina;N#541;N#15799
pioggia;N#2506;N#22945
Piombino;NP#2383;NP#46424
pirata;N#2241;N#24341
pireliometro;N#2553;N#30663
piroga;N#542;N#24007
piroscafo;N#2348;N#15999
pistola;N#1341;N#2671
planare;V#1414;V#35456
pluviometro;N#2537;N#26392
poggiare;V#1655;V#35169
Pola;NP#2342;NP#47867
polena;N#2705;N#14297
pollice;N#1576;N#4978
Polo_Sud;NP#2634;NP#46154
ponente;N#2501;N#19556
ponte;N#384;N#649
pontone;N#378;N#28845
Poole;NP#1226;NP#48210
poppa;N#211;N#14121
poppavia;N#1583;N#25863
poppiero;AG#1586;AG#45444
portare;V#1661;V#36505
Portland;NP#2162;NP#48068
porto;N#2240;N#17185
