Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
segnale;N#1434;-0.99;0.00;No (1);termine generico per indicare un tipo di comunicazione tra imbarcazioni o con la costa  tramite convenzioni e sistemi visivi  luminosi  acustici o radio.
onda;N#1496;-1.16;0.00;No (1);"oscillazione dell'acqua nel mare  prodotta da una forza esterna (tipicamente il vento) che ne perturba l'equilibrio. A seconda della forza del vento la superficie del mare assume forme progressivamente più ripide e movimentate.
"
grandezza;N#501;-1.31;0.00;No (1);espressione quantitativa del rapporto fra grandezze omogenee.
avvertimento;N#81;-1.32;0.00;No (1);l'annunciare  l'avvertire  l'avvertire  informare  l'annunciare.
codice;N#110;-1.32;0.00;No (1);raccolta organica di leggi che regolano un dato settore del diritto
deriva;N#114;-1.32;0.00;No (1);
diritto;N#489;-1.32;0.00;No (1);tassa  onere fisso riscosso in corrispettivo di un atto o di un servizio.
governale;N#222;-1.32;0.00;No (1);strumento delle imbarcazioni per mantenere la direzione durante il moto
meteorologia;N#988;-1.32;0.00;No (1);scienza che studia l' atmosfera terrestre e i fenomeni che vi si manifestano.
traghetto;N#445;-1.32;0.00;No (1);imbarcazione usata per traghettare.
nebbia;N#1527;-1.32;0.00;No (1);fenomeno atmosferico consistente in massa di goccioline minutissime di acqua in sospensione nell'atmosfera.
poppa;N#211;-1.32;0.00;No (1);parte posteriore di imbarcazione
rada;N#916;-1.32;0.00;No (1);insenatura che offre un buon riparo  porto naturale.
veleggiare;V#148;-1.32;0.00;No (1);navigare con un'imbarcazione a vela.
acqua;N#75;-1.65;0.00;No (1);liquido trasparente  incolore  inodore ed insapore
bacino;N#794;-1.65;0.00;No (1);spazio portuale delimitato da paratie stagne dove è possibile mettere in secca le navi.
capitano;N#511;-1.65;0.00;No (1);grado di vari ufficiali della Marina militare.
logistica;N#2002;-1.65;0.00;No (1);"settore che si occupa dell'approvvigionamento  della distribuzione dei materiali e dei prodotti finiti  per estensione  disposizione di persone o cose in modo funzionale al raggiungimento di un dato scopo.
"
nolo;N#8;-1.65;0.00;No (1);corrispettivo da pagarsi per il noleggio totale o parziale di una imbarcazione o nave  e per un trasporto marittimo di qualsiasi tipo.
numero;N#1854;-1.65;0.00;No (1);insieme di cifre che possono identificare una barca  un coefficiente  ecc.
prora;N#212;-1.65;0.00;No (1);parte anteriore di un'imbarcazione
rotta;N#217;-1.65;0.00;No (1);tracciato che sulle carte indica il percorso seguito o da seguire
tariffa;N#272;-1.65;0.00;No (1);prezzo stabilito per determinate merci o prestazioni
trasporto;N#223;-1.65;0.00;No (1);
battello;N#367;-1.84;0.00;No (1);piccola imbarcazione a remi o a motore adibita a vari usi specifici.
area;N#1998;-1.88;0.00;No (1);superficie  spazio delimitato
veliero;N#163;-1.89;0.00;No (1);bastimento a vela.
elica;N#116;-1.98;0.00;No (1);organo meccanico che genera una spinta con la sua rotazione nell'aria o nell'acqua.
motore;N#195;-1.98;0.00;No (1);macchina atta a trasformare una determinata forma di energia in energia meccanica
movimento;N#1386;-1.98;0.00;No (1);movimento dell'imbarcazione .
navigazione;N#45;-1.98;0.00;No (1);tecnica e pratica che consentono di mantanere una rotta.
precipitazione;N#2495;-1.98;0.00;No (1);fenomeno atmosferico.
luogo;N#205;-2.00;0.00;No (1);parte dello spazio occupata o occupabile materialmente o idealmente
frequenza;N#2304;-2.31;0.00;No (1);periodicità con cui un fatto o un fenomeno accade o si ripete.
linea;N#2285;-2.31;0.00;No (1);"servizio che garantisce il trasporto di passeggeri e merci fra due o più località: linee aeree  ferroviarie  marittime | l'itinerario effettuato da un mezzo di comunicazione  tratta compresa fra due località: la linea Livorno-Cagliari.
"
marea;N#192;-2.48;0.00;No (1);movimento periodico delle acque del mare il cui livello si alza e si abbassa a fasi alterne quattro volte al giorno. Il fenomeno è dato dalla combinazione delle forze di attrazione del Sole e della Luna combinate con il moto di rotazione della Terra. 
angolo;N#622;-2.64;0.00;No (1);(geom.) lo spazio tra due linee o piani che si intersecano
acque;N#119;-2.87;0.00;No (1);il complesso delle acque salate che coprono gran parte della superficie terrestre.
camera;N#648;-2.97;0.00;No (1);ambiente interno  stanza  ripostiglio  deposito.
albero;N#88;-3.63;0.00;No (1);palo che regge le vele in una imbarcazione
andatura;N#76;-3.63;0.00;No (1);modo di navigare di una imbarcazione a vela
manovra;N#638;-3.63;0.00;No (1);azione o insieme di azioni per dirigere o modificare il movimento di una nave o di una imbarcazione. Per effettuare una manovra si utilizzano il timone  le ancore ed il sistema di propulsione (motore ed eliche) oppure le vele nei velieri.
barca;N#1;-4.29;0.00;No (1);imbarcazione di piccole dimensioni  a remi  a vela  o a motore aperta o parzialmente pontata.
bandiera;N#98;-4.62;0.00;No (1);drappo di stoffa leggera attaccata all'asta o all'albero di una nave.
aria;N#224;-4.85;0.00;No (1);spostamento di masse d'aria atmosferiche dovuto a differenza di temperatura o di pressione  spostamento di masse d'aria atmosferiche causato da differenze di temperatura o di pressione
annodatura;N#389;-8.58;0.00;No (1);legamento di due estremità di funi  cavi e sim.
parte;N#421;-10.99;0.00;No (1);ciascuno degli elementi o delle parti in cui è diviso un tutto.
