Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
sbarco;N#267;0.00;0.00;No (1);operazione di togliere il carico
sbattere;V#1718;0.00;0.00;No (1);"si dice delle vele quando  a causa del vento debole  si gonfiano e sgonfiano alternativamente  provocando un rumore di frusta. 
"
scadere;V#1422;0.00;0.00;No (1);"lo spostarsi di un galleggiante in senso laterale per effetto del vento (scarroccio) o di altre cause  ad es. una corrente marina.
"
scandaglio;N#905;0.00;0.00;No (1);strumento per misurare la profondità delle acque.
scartamento;N#525;0.00;0.00;No (1);distanza tra le rotaie
scassa;N#1423;0.00;0.00;No (1);l'alloggiamento del piede dell'albero  nelle imbarcazioni a vela.
scia;N#1424;0.00;0.00;No (1);solco lasciato da un galleggiante in moto
scia;N#1425;0.00;0.00;No (1);traccia lasciata da qualcosa nell'aria  sulla terra o nell'acqua
scoglio;N#1426;0.00;0.00;No (1);roccia di diversa natura  che emerge dal mare in prossimità della costa e spesso costituisce un pericolo per la navigazione.
scostare;V#1427;0.00;0.00;No (1);deviare dalla rotta prestabilita.
Sebastiano_Caboto;NP#1252;0.00;0.00;No (1);navigatore (Venezia 1476-Londra 1557) figlio di Giovanni
senseria;N#268;0.00;0.00;No (1);
serbatoio;N#2200;0.00;0.00;No (1);
Setubal;NP#1280;0.00;0.00;No (1);
sicuramente;AV#2682;0.00;0.00;No (1);con sicurezza: in nave si viaggia sicuramente
sicuro;AG#2681;0.00;0.00;No (1);che non comporta pericoli
Siviglia;NP#1281;0.00;0.00;No (1);
Smirne;NP#1282;0.00;0.00;No (1);
soffiare;V#2582;0.00;0.00;No (1);detto del vento.
solcometro;N#1729;0.00;0.00;No (1);strumento per misurare la velocità delle imbarcazioni.
Southampton;NP#1283;0.00;0.00;No (1);
Spalato;NP#2338;0.00;0.00;No (1);
speronare;V#1875;0.00;0.00;No (1);colpire un'altra nave con lo sperone o con la prora  incidentalmente o durante un'azione di guerra.
statuizione;N#2058;0.00;0.00;No (1);deliberazione  ordine  decisione di un'autorità.
Stavanger;NP#1285;0.00;0.00;No (1);
stecca;N#1746;0.00;0.00;No (1);"lama o profilato plastico di diversa forma e sezione che  inserito nel lato di balumina della randa  contribuisce a mantenerla distesa.
"
Stella Polare;NP#547;0.00;0.00;No (1);nave militare
Stettino;NP#1286;0.00;0.00;No (1);
Stoccolma;NP#2431;0.00;0.00;No (1);
stopper;N#1748;0.00;0.00;No (1);attrezzo in grado di bloccare le scotte  normalmente formato da una ganascia  azionata con una leva  che frena la scotta dentro una apposita guida.
Sud_America;NP#2635;0.00;0.00;No (1);
Sunderland;NP#1287;0.00;0.00;No (1);
Swansea;NP#1288;0.00;0.00;No (1);
Sydney;NP#1245;0.00;0.00;No (1);
Sydney;NP#1321;0.00;0.00;No (1);
Tacoma;NP#1289;0.00;0.00;No (1);
Tallin;NP#1290;0.00;0.00;No (1);
Tampa;NP#1291;0.00;0.00;No (1);
Tangeri;NP#1292;0.00;0.00;No (1);
Taranto;NP#1244;0.00;0.00;No (1);
Tarragona;NP#1293;0.00;0.00;No (1);
Tavolara-Punta_Coda_Cavallo;NP#2597;0.00;0.00;No (1);
tavoletta;N#1757;0.00;0.00;No (1);"pezzo di materiale sintetico a forma di triangolo  che viene cucito sulla parte superiore della randa per renderla più resistente.
"
tenersi_a_galla;V#1500;0.00;0.00;No (1);
Tirreno;NP#1962;0.00;0.00;No (1);
Toronto;NP#2160;0.00;0.00;No (1);
Torre_Guaceto;NP#2598;0.00;0.00;No (1);
traghettare;V#451;0.00;0.00;No (1);
transito;N#276;0.00;0.00;No (1);passaggio  il passare.
Trapani;NP#2395;0.00;0.00;No (1);
trapezio;N#945;0.00;0.00;No (1);imbragatura usata dai prodieri delle piccole imbarcazioni da regata  per porgersi fuoribordo.
traverso;N#1720;0.00;0.00;No (1);direzione perpendicolare a quella della chiglia  nei due lati dell'imbarcazione. Si dice comunemente: traverso di dritta e traverso di sinistra.
Trebisonda;NP#1295;0.00;0.00;No (1);
tribordo;N#712;0.00;0.00;No (1);lato destro di un'imbarcazione.
Trieste;NP#2396;0.00;0.00;No (1);
tuga;N#1764;0.00;0.00;No (1);nelle navi identifica qualsiasi sovrastruttura chiusa elevata su un ponte  ad esempio per un passaggio coperto o per proteggere attrezzature.
Tunisi;NP#2261;0.00;0.00;No (1);
Turku;NP#1296;0.00;0.00;No (1);
uragano;N#2095;0.00;0.00;No (1);distruzione di edifici  manufatti  ecc.  in mare la schiuma e gli spruzzi riducono assai la visibilità. Velocità del vento oltre 118 Km. orari. Grado 12 della scala Beaufort.
urbe;N#2672;0.00;0.00;No (1);un centro abitato di dimensioni variabili dal medio al grande
Ustica;NP#2599;0.00;0.00;No (1);
Vancouver;NP#1253;0.00;0.00;No (1);navigatore inglese (1757-1798)  sbarcò in Nuova Zelanda  Australia e Hawaii  giungendo fino alle coste del Canada.
varare;V#228;0.00;0.00;No (1);far discendere una nave in mare da un'apposito bacino  oppure mettere in mare un'imbarcazione con l'ausilio di una slitta o di una gru.
Varna;NP#1297;0.00;0.00;No (1);
Vasteras;NP#1298;0.00;0.00;No (1);
velista;N#165;0.00;0.00;No (1);atleta degli sport della vela
vendere;V#939;0.00;0.00;No (1);cedere ad altri q.c. ricevendone il prezzo  commerciare (anche assol.).
Venezia;NP#1994;0.00;0.00;No (1);
Ventotene_e_Santo_Stefano;NP#2600;0.00;0.00;No (1);
Vittorio Veneto;NP#551;0.00;0.00;No (1);nave militare
Vlissingen;NP#1299;0.00;0.00;No (1);
Waterford;NP#1300;0.00;0.00;No (1);
direzione;N#1892;-0.00;0.00;No (1);luogo verso il quale ci si dirige
navigazione;N#9;-0.11;0.00;No (1);il navigare.
utensile;N#2173;-0.18;0.00;No (1);arnese atto all'esecuzione di determinate operazioni proprie di un'arte  di un mestiere o di una tecnica.
virare;V#2618;-0.26;0.00;No (1);eseguire un mutamento di rotta.
punto;N#652;-0.33;0.00;No (1);termine generico per indicare una posizione specifica sia fisica che geografica.
abbittare;V#577;-0.33;0.00;No (1);legare un cavo o una catena a una bitta
abboccare;V#2692;-0.33;0.00;No (1);detto di un'imbarcazione a vela  navigare inclinata su un fianco con il bordo a pelo dell'acqua.
abbrivare;V#1870;-0.33;0.00;No (1);mettere in moto  far acquistare velocità.
abbrivio;N#177;-0.33;0.00;No (1);moto progressivo iniziale di una imbarcazione dovuta alla sua propulsione o ad altri fattori esterni  quali il vento o la corrente.
abbrivio;N#179;-0.33;0.00;No (1);impulso iniziale dato ad un veicolo
abete;N#1819;-0.33;0.00;No (1);legno particolarmente usato per le alberature delle barche a vela.
accone;N#59;-0.33;0.00;No (1);solido barcone lungo e quadrato  già usato per trasportare a bordo  rimorchiandolo  il carico e l’armamento
accostare;V#332;-0.33;0.00;No (1);cambiare la prua dell'imbarcazione  manovrando il timone  verso destra o sinistra.
affondamento;N#2581;-0.33;0.00;No (1);il mandare a fondo  lo spingere qc. sotto l'acqua.
affondare;V#839;-0.33;0.00;No (1);andare a fondo per eccesso di peso o per una falla che fa entrare acqua.
affondare;V#1867;-0.33;0.00;No (1);mandare a a fondo.
afforcare;V#334;-0.33;0.00;No (1);ancorarsi affondando due ancore a prua.
agente marittimo;N#233;-0.33;0.00;No (1);rappresentante  in un porto  della compagnia di navigazione o dell'armatore.
ala;N#1920;-0.33;0.00;No (1);cavo per la manovra dell'alaggio.
alaggio;N#736;-0.33;0.00;No (1);operazione con cui si mette a secco un'imbarcazione per mezzo di gru  scivoli  o altro.
albatrosso;N#62;-0.33;0.00;No (1);tipo di nave inventata  verso la fine del ‘400  da mastro Giovanni dell’arsenale di Pisa.
aliseo;N#840;-0.33;0.00;No (1);vento costante che spira tutto l'anno tra i due tropici e l'equatore
alluminio;N#2012;-0.33;0.00;No (1);metallo leggero e di elevate caratteristiche meccaniche che lo rendono molto adatto alla costruzione di imbarcazioni.
altostrato;N#962;-0.33;0.00;No (1);nuvola grigia o azzurrognola velata  di media quota che spesso precede depressioni e cattivo tempo.
ammiraglia;N#97;-0.33;0.00;No (1);nave dell'ammiraglio
amperometro;N#1652;-0.33;0.00;No (1);strumento per misurare l'intensità della corrente elettrica.
ancoraggio;N#588;-0.33;0.00;No (1);luogo riparato dai venti dove un' imbarcazione può tenersi ferma con l'ancora o trovare riparo in caso di mal tempo
andana;N#783;-0.33;0.00;No (1);"modalità di ormeggio  per cui una imbarcazione si ormeggia affiancandosi ad un'altra ormeggiata alla banchina o a sua volta affiancata.
"
andana;N#1858;-0.33;0.00;No (1);banchina portuale.
anfibio;N#531;-0.33;0.00;No (1);veicolo in grado di muoversi sia in terra che su acqua
angolo di deriva;N#623;-0.33;0.00;No (1);angolo formato dalla direzione del cammino reale e la direzione indicata dalla bussola  causato dallo spostamento laterale dovuto alla corrente marina.
annegare;V#2579;-0.33;0.00;No (1);far morire per annegamento.
annegare;V#2584;-0.33;0.00;No (1);morire per soffocamento in acqua o altro liquido.
anticiclone;N#958;-0.33;0.00;No (1);area circoscritta dove la pressione atmosferica è massima.
appoggio;N#64;-0.33;0.00;No (1);veliero usato per la pesca con lo scafandro.
approdare;V#337;-0.33;0.00;No (1);prendere terra  approdare.
armo;N#710;-0.33;0.00;No (1);l'insieme di imbarcazione ed equipaggio per una regata (specialmente nel canottaggio).
arrancare;V#2236;-0.33;0.00;No (1);vogare con energia cercando di aumentare il ritmo.
arsenalotto;N#2648;-0.33;0.00;No (1);operaio di un arsenale marittimo.
assetto;N#777;-0.33;0.00;No (1);modo in cui i pesi sono distribuiti su un'imbarcazione.
assicurare;V#1829;-0.33;0.00;No (1);legare saldamente  fermare  fissare.
associazione;N#2650;-0.33;0.00;No (1);unione organizzata di più persone con finalità comuni.
astrolabio;N#2150;-0.33;0.00;No (1);antico strumento usato dai naviganti per determinare l'altezza di un astro ull'orizzonte  oggi sostituito dal sestante.
atollo;N#380;-0.33;0.00;No (1);grosso galleggiante
attraccare;V#227;-0.33;0.00;No (1);avvicinarsi ad una banchina o a un'altra imbarcazione assicurandola con un ormeggio.
autotreno;N#590;-0.33;0.00;No (1);camion con rimorchio.
avamporto;N#620;-0.33;0.00;No (1);zona di mare antistante l'entrata del porto  in genere protetta da dighe foranee.
avvisatore;N#80;-0.33;0.00;No (1);chi avvisa
bagala;N#65;-0.33;0.00;No (1);barcone a vela  con la poppa rotonda e la pruna rasa slanciata  in uso nel Mar Rosso e sul Nilo.
bagnasciuga;N#976;-0.33;0.00;No (1);parte esterna dello scafo che sta a pelo dell'acqua e che può essere bagnata o meno a seconda del carico e del moto ondoso.
bagnasciuga;N#1995;-0.33;0.00;No (1); striscia di spiaggia su cui si infrangono le onde.
barbariccio;N#1925;-0.33;0.00;No (1);piccola barca a remi usata in Sardegna per la pesca dei tonni.
barbetta;N#873;-0.33;0.00;No (1);cima lunga e fine che si usa per ormeggiare o trainare una piccola imbarcazione ausiliaria.
barra;N#99;-0.33;0.00;No (1);leva orizzontale fissata sulla testa del timone che trasmette alla pala il moto angolare.
base;N#877;-0.33;0.00;No (1);lato inferiore della vela.
beccheggio;N#578;-0.33;0.00;No (1);movimento oscillatorio longitudinale dell'imbarcazione
belvedere;N#354;-0.33;0.00;No (1);la penultima delle vele quadre dei bastimenti a tre alberi.
benzina;N#2177;-0.33;0.00;No (1);liquido trasparente  volatile  infiammabile ottenuto dal petrolio
bettolina;N#382;-0.33;0.00;No (1);galleggiante di ampie dimensioni
biga;N#1914;-0.33;0.00;No (1);gru usata per alzare grossi pesi.
biscaglina;N#1935;-0.33;0.00;No (1);nave a vele quadre tipica della Biscaglia.
bissona;N#1936;-0.33;0.00;No (1);barca veneziana da parata a otto remi  sottile e veloce.
bitta;N#100;-0.33;0.00;No (1);attrezzatura di coperta che si utilizza in fase di ormeggio per avvolgervi e bloccare catene o cime. 
bolletta;N#592;-0.33;0.00;No (1);ricevuta di un pagamento.
bombarda;N#1937;-0.33;0.00;No (1);piccolo veliero da guerra con due alberi e un mortaio da bombe.
bora;N#982;-0.33;0.00;No (1);vento freddo e impetuoso che soffia da nord est sul mare Adriatico con la massima intensità a Trieste e lungo le coste della Dalmazia.
bordeggiare;V#664;-0.33;0.00;No (1);veleggiare con vento obliquo per diagonali  cambiando di boerdo dii volta in volta.
bordo;N#84;-0.33;0.00;No (1);la nave stessa.
bordo;N#2726;-0.33;0.00;No (1);nella navigazione di bolina delle barche a vela  ogni tratto percorso con il vento da uno stesso lato.
braccio;N#882;-0.33;0.00;No (1);misura inglese di profondità che corrisponde a metri 1 85 e si suddivide in 6 piedi.
bragozzo;N#1939;-0.33;0.00;No (1);barca da pesca in uso nell'alto Adriatico  di forme rotonde e tozze  con due alberi con vela a terzo dipinta a colori vivaci.
bucintoro;N#1940;-0.33;0.00;No (1);barca da parata con una ventina di remi per lato  usata a Venezia per la cerimonia dello sposalizio col mare.
bugna;N#890;-0.33;0.00;No (1);angolo di una vela. Nelle moderne vele triangolari  le bugne sono tre: b. di penna  b. di mura  b. di scotta.
bulbo;N#1010;-0.33;0.00;No (1);"pesante siluro  normalmente in piombo  collocato il più in basso possibile solidarmente alla chiglia  per aumentare il momento raddrizzante dell'imbarcazione sotto vela.
"
buttare;V#2114;-0.33;0.00;No (1);far cadere verso il basso.
cacciasommergibili;N#555;-0.33;0.00;No (1);
caicco;N#167;-0.33;0.00;No (1);battello a remi  leggero e sottile  usato sul Bosforo per il trasporto delle persone. E' la gondola del Bosforo.
cala;N#196;-0.33;0.00;No (1);insenatura poco profonda adatta per l'approdo e l'ormeggio delle piccole imbarcazioni.
calare;V#678;-0.33;0.00;No (1);far scendere lentamente.
calcestruzzo;N#2112;-0.33;0.00;No (1);materiale da costruzione
cambusa;N#1055;-0.33;0.00;No (1);deposito dei viveri sulla nave o imbarcazione.
cambusiere;N#1056;-0.33;0.00;No (1);addetto alla custodia e distribuzione dei viveri  cuoco di bordo.
camera;N#593;-0.33;0.00;No (1);ente  associazione  assemblea
canapa;N#723;-0.33;0.00;No (1);fibra tessile che si ricava dalla pianta usata per fabbricare cavi e  in passato  anche vele.
cannoniera;N#556;-0.33;0.00;No (1);
canoa;N#361;-0.33;0.00;No (1);la Marina da diporto dà questo nome a un battello lungo circa 5 metri  con fasciame sovrapposto  prua e poppa pontate  un albero con vela di taglio e un fiocco.
canotto;N#362;-0.33;0.00;No (1);sulle navi mercantili è la più piccola delle imbarcazioni di bordo.
cappa;N#1179;-0.33;0.00;No (1);"copertura di tela utilizzata per proteggere i boccaporti  strumenti  o l'intera imbarcazione.
"
carabottino;N#1333;-0.33;0.00;No (1);graticolato usato come pavimento per le zone in cui si vuole che l'acqua passi e scorra via.
carboniere;N#168;-0.33;0.00;No (1);piccolo bastimento per il trasporto del carbone.
carena;N#720;-0.33;0.00;No (1);la parte dello scafo che normalmente sta sotto il livello dell'acqua.
caricare;V#446;-0.33;0.00;No (1);
cassero;N#1999;-0.33;0.00;No (1);sulle grandi navi a vela fino al XIX secolo: il tratto di coperta tra il casseretto e l'albero maestro.
catamarano;N#1560;-0.33;0.00;No (1);imbarcazione a vela con due scafi.
cellulosa;N#2196;-0.33;0.00;No (1);composto organico solido e fibroso  presente in natura come componente delle pareti cellulari delle piante od ottenuto industrialmente  usato come materia prima spec. nell'industria cartaria e tessile.
cemento;N#2108;-0.33;0.00;No (1);materiale per costruzione  ottimamente resistente alla compressione
cerata;N#1847;-0.33;0.00;No (1);indumento impermeabilizzato e ben chiuso per impedire il passaggio dell'acqua  di solito formato da giacca con cappuccio e pantaloni alti o tuta intera.
cessione;N#597;-0.33;0.00;No (1);atto del cedere qualcosa a qualcuno  trasferendone la proprietà
chiesuola;N#640;-0.33;0.00;No (1);colonna fissata al ponte della nave che sostiene e protegge la bussola magnetica.
clausola;N#598;-0.33;0.00;No (1);disposizione di contenuto autonomo inserita in un atto giuridico
coffa;N#460;-0.33;0.00;No (1);piattaforma circolare o semicircolare posta sulla cima degli alberi degli antichi velieri o di moderne imbarcazioni di grandi dimensioni.
collidere;V#339;-0.33;0.00;No (1);urtare fortuitamente.
investimento;N#1352;-0.33;0.00;No (1);urto tra due navi o imbarcazioni.
coltellaccio;N#352;-0.33;0.00;No (1);ciascuna delle quattro vele trapezoidali che le navi a vele quadre spiegano col tempo buono.
comando;N#762;-0.33;0.00;No (1);l'atto del comandare
commettere;V#2181;-0.33;0.00;No (1);ordinare una merce.
commissione;N#241;-0.33;0.00;No (1);compenso richiesto dalle banche per alcune operazioni
commodoro;N#2242;-0.33;0.00;No (1);nelle marine anglosassoni  ufficiale che assume il comando di una divisione navale
condizione;N#601;-0.33;0.00;No (1);circostanza richiesta all'interno di un patto  condizioni previste da un accordo.
continente;N#2623;-0.33;0.00;No (1);terraferma  parte emersa di un continente
coperta;N#385;-0.33;0.00;No (1);ponte scoperto della nave
coppa;N#2098;-0.33;0.00;No (1);
corallina;N#1946;-0.33;0.00;No (1);nave attrezzata per la pesca del corallo.
corazzata;N#557;-0.33;0.00;No (1);grande nave da battaglia.
crociera;N#469;-0.33;0.00;No (1);l'incrociare in un determinato tratto di mare a scopo di sorveglianza o di ricerca.
dandy;N#371;-0.33;0.00;No (1);cutter che a poppa porta un piccolo albero con una randa.
darsena;N#112;-0.33;0.00;No (1);parte interna del porto  dove le navi vengono riparate o custodite
depressione;N#959;-0.33;0.00;No (1);area di bassa pressione atmosferica con il valore minimo al centro. Si producono rapidamente e sono accompagnate da maltempo e spesso da tempeste. Ai tropici possono dar luogo ai cicloni.
destinazione;N#2400;-0.33;0.00;No (1);punto di arrivo di un'imbarcazione ( per es.: un traghetto).
detrazione;N#2646;-0.33;0.00;No (1);riduzione di una somma da pagare
diamante;N#1385;-0.33;0.00;No (1);parte terminale del fuso dell'ancora dal quale si dipartono le marre. 
disciplina;N#2711;-0.33;0.00;No (1);complesso organico e sistematico delle conoscenze che si posseggono intorno a un certo argomento.
draglia;N#1406;-0.33;0.00;No (1);"nelle imbarcazioni da diporto identifica un cavo d'acciaio che viene sostenuto dai ""candelieri"" a formare la ""battagliola"".
"
dragone;N#70;-0.33;0.00;No (1);imbarcazione a vela da regata
drizzare;V#1846;-0.33;0.00;No (1);manovrare le drizze.
equipaggio;N#182;-0.33;0.00;No (1);costituito dal comandante  dagli ufficiali e da tutte le altre persone arruolate per il servizio della nave. 
falegnameria;N#2204;-0.33;0.00;No (1);nelle imbarcazioni è l'insieme delle opere in legno.
fare;V#1469;-0.33;0.00;No (1);lasciare uscire o entrare  detto specialmente di liquidi.
fare;V#1473;-0.33;0.00;No (1);procacciarsi  ottenere.
fare scalo;V#1475;-0.33;0.00;No (1);Sostare in un porto  o in un ancoraggio.
fondale;N#186;-0.33;0.00;No (1);altezza dal livello dell'acqua
foschia;N#1493;-0.33;0.00;No (1);"stato opaco dell'atmosfera  diverso dalla nebbia  e frequente anche con bel tempo. E' spesso dovuto a differenze di temperatura tra zone contigue.
"
frangente;N#1495;-0.33;0.00;No (1);onda del mare che  in corrispondenza di bassifondi o scogli affioranti  rompe in spuma e spruzzi.
fregata;N#554;-0.33;0.00;No (1);nave militare con compiti di scorta  con dislocamento fra 1650 e 7800 tonnellate.
gavitello;N#101;-0.33;0.00;No (1);galleggiante di segnalazione di varia forma solidamente ancorato al fondale utilizzato specie per l'ormeggio delle imbarcazioni  o nelle gare nautiche. 
gettare;V#2113;-0.33;0.00;No (1);far cadere qualcosa  con impeto e con forza  lontano da sé.
ghibli;N#2518;-0.33;0.00;No (1);"forte vento  dovuto alle basse pressioni mediterranee e alle alte pressioni sahariane  che spira dall’Africa verso il Mediterraneo specialmente in maggio e settembre  causando aumento della temperatura e diminuzione dell’umidità.
"
giacenza;N#2185;-0.33;0.00;No (1);merce che giace in magazzino  in particolare non venduta
golfo;N#1518;-0.33;0.00;No (1);"Insenatura di grandi dimensioni  che talvolta contiene insenature minori (cale  baie 
etc.). 
"
gondola;N#170;-0.33;0.00;No (1);barca a due remi  e di solito a un sol rematore  sottile  lunga  a fondo piatto  con estremità molto rialzate. Forse dal latino cymbula (barchetta) o concha (concula=conchiglia)  o dal greco kuntelas (dalle parole kontos (corto) e helas (navicella)).
governare;V#2722;-0.33;0.00;No (1);detto di una nave  rispondere ai comandi.
granito;N#2078;-0.33;0.00;No (1);roccia cristallina
grappino;N#680;-0.33;0.00;No (1);ancorotto
grecale;N#1004;-0.33;0.00;No (1);vento che spira da Nord-Est a Sud-Ovest sul Mediterraneo centrale e meridionale nelle stagioni fredde.
guidone;N#1537;-0.33;0.00;No (1);"bandiera di forma triangolare o di striscia  che rappresenta il club di appartenenza o la compagnia di navigazione nella navi della Marina Mercantile.
"
imballo;N#257;-0.33;0.00;No (1);l'imballare
imbrogliare;V#1587;-0.33;0.00;No (1);Chiudere e raccogliere rapidamente le vele per sottrarle all'azione del vento.
immersione;N#639;-0.33;0.00;No (1);misura della distanza verticale tra la parte inferiore della chiglia di uno scafo e il piano di galleggiamento. 
incrociatore;N#552;-0.33;0.00;No (1);nave militare
indice;N#1615;-0.33;0.00;No (1);ago o altro tipo si sistema di segnalazione di uno strumento di misura o di un indicatore.
inferire;V#1465;-0.33;0.00;No (1);"legare le vele all'albero o infilarne e far scorrere la ralinga (o gratile) nell'apposita canaletta (dell'albero e del boma)  per distenderle e metterle in posizione di lavoro. 
"
investire;V#340;-0.33;0.00;No (1);urtare volontariamente.
lanciamissili;N#560;-0.33;0.00;No (1);nave militare
lanciarazzi;N#1340;-0.33;0.00;No (1);particolare pistola per lanciare razzi.
levante;N#2517;-0.33;0.00;No (1);vento fresco e umido di debole intensità che spira da Est  principalmente nel periodo estivo  sulla zona di Gibilterra.
lino;N#724;-0.33;0.00;No (1);fibra tessile ricavata dalla pianta del lino.
lossodromia;N#1643;-0.33;0.00;No (1);linea retta che incrocia i meridiani con un angolo costante. E' il percorso normalmente seguito navigando con la bussola.
lunghezza;N#1644;-0.33;0.00;No (1);"distanza tra la prua e la poppa dello scafo  misurata sull'asse longitudinale escludendo eventuali estremità.
"
galleggiamento;N#1502;-0.33;0.00;No (1);Distanza  misurata sul piano del galleggiamento  tra la prua e la poppa  cioè tra i due punti nei quali prua e poppa toccano l'acqua.Questa misura determina la velocità massima sviluppabile da uno scafo.
maestrale;N#990;-0.33;0.00;No (1);vento che spira da Nord Ovest  è uno dei venti predominanti del Mediterraneo.
manifestazione;N#2134;-0.33;0.00;No (1);
mano;N#1380;-0.33;0.00;No (1);ripiegatura che si fa alle rande per ridurne la superficie esposta quando il vento aumenta in modo considerevole.
manovrabile;AG#1382;-0.33;0.00;No (1);che si può manovrare.
marcia;N#1387;-0.33;0.00;No (1);"movimento dell'imbarcazione dato dalla posizione dell'invertitore (neutro  avanti o indietro) e dell'acceleratore (lenta  veloce  etc.).
"
mare;N#2728;-0.33;0.00;No (1);abbondanza  grande quantità  estensione.
altura;N#860;-0.33;0.00;No (1);mare lontano dalle coste.
mareggiata;N#1174;-0.33;0.00;No (1);"burrasca generata normalmente da forti venti di traversia. Può essere o meno accompagnata da maltempo  e normalmente si abbatte sulle coste in modo
violento."
mareografo;N#2551;-0.33;0.00;No (1);strumento per il rilevamento del livello medio marino.
marmo;N#2049;-0.33;0.00;No (1);calcare di vario colore che deve la sua struttura a fenomeni di metamorfismo.
mistral;N#1262;-0.33;0.00;No (1);vento molto forte  secco e freddo  proveniente da Nord-Ovest  che soffia  soprattutto nei mesi invernali  lungo la valle del Rodano fino al golfo del Leone.
misurare;V#1007;-0.33;0.00;No (1);stabilire un rapporto fra una grandezza e un'altra omogenea usata come unità di misura.
monotipo;N#1723;-0.33;0.00;No (1);imbarcazione a vela prodotta in serie  realizzata secondo gli standard richiesti per l'omologazione nelle varie classi sportive.
monsone;N#2499;-0.33;0.00;No (1);vento periodico causato da sbalzo termico tra aree oceaniche e aree continentali che spira dall'Oceano Indiano verso il continente asiatico durante i mesi estivi (m. di mare) e dal continente verso l'Oceano Indiano durante i mesi invernali (m. di terra).
nadir;N#1344;-0.33;0.00;No (1);"è il punto della sfera celeste diametralmente opposto allo ""zenit""."
naufrago;N#1524;-0.33;0.00;No (1);persona caduta in mare o superstite da un naufragio
navetta;N#32;-0.33;0.00;No (1);veicolo che percorre continuamente nei due sensi lo stesso percorso.
navigabilità;N#37;-0.33;0.00;No (1);
navigare;V#2688;-0.33;0.00;No (1);"muoversi all'interno di un ipertesto scegliendo un itinerario: navigare in Internet.
"
nodo;N#390;-0.33;0.00;No (1);unità di misura della velocità di una nave
nodo semplice;N#391;-0.33;0.00;No (1);"termine generico per indicare le legature tra due cime o corde che  nella marineria  sono realizzate in base ai particolari usi ai quali sono destinate. 
"
noleggiare;V#314;-0.33;0.00;No (1);dare in noleggio
noleggiare;V#315;-0.33;0.00;No (1);prendere in noleggio
oblò;N#852;-0.33;0.00;No (1);finestra circolare delle navi  dotata di vetro molto spesso che può essere apribile o fisso.
olio;N#2178;-0.33;0.00;No (1);prodotto liquido di varia natura
