Shared Lemma;IWN_WM_ID;MarT_WM_ID
evento;N#50297;N#2133
export;N#17177;N#254
falegnameria;N#24585;N#2204
falla;N#4614;N#183
fardello;N#15302;N#2019
fare;V#32135;V#1473
fare scalo;V#49873;V#1475
faro;N#51463;N#185
fasciame;N#5967;N#1346
fase;N#50530;N#2571
fasello;N#5202;N#169
fattura;N#9099;N#255
Felixstowe;NP#47860;NP#1144
fenomeno_atmosferico;N#14356;N#1009
fenomeno_naturale;N#18656;N#2505
fermare;V#50052;V#651
Ferrol;NP#48361;NP#1145
fianco;N#30289;N#462
fiera;N#19944;N#2080
Filadelfia;NP#47630;NP#2163
filare;V#35728;V#191
finale;N#29652;N#2103
fine;AG#41761;N#2619
fiocco;N#1134;N#353
fischio;N#7676;N#1480
fiume;N#30299;N#1481
Fiume;NP#48488;NP#2340
Fiumicino;NP#46447;NP#2371
Fleetwood;NP#48485;NP#1146
fondale;N#12756;N#187
fondo;N#1044;N#188
Formia;NP#47848;NP#2372
formula;N#16953;N#515
fortunale;N#3095;N#2094
forza;N#10463;N#1988
foschia;N#25152;N#1493
franchigia;N#8106;N#256
franco;N#30369;AV#634
frangente;N#16099;N#1495
Fredericia;NP#47079;NP#1147
Frederikshavn;NP#47685;NP#1148
Freetown;NP#47757;NP#1149
fregata;N#49594;N#554
Freja;NP#47649;NP#1048
frequenza;N#6930;N#2304
furgone;N#21640;N#2616
fuso;N#11307;N#1388
gabbia;N#20299;N#666
gala;N#9823;N#1825
galea;N#20773;N#2697
galleggiamento;N#27809;N#1502
galleggiante;N#1223;N#379
Gand;NP#47045;NP#1150
gas;N#24744;N#2076
gasolio;N#2739;N#2077
gavitello;N#18412;N#101
Genova;NP#46866;NP#2373
germogliare;V#35062;V#2117
gettare;V#49946;V#2118
ghibli;N#26643;N#2518
giacenza;N#3440;N#2185
Gibuti;NP#46244;NP#1152
Gioia_Tauro;NP#46922;NP#2374
Giovanni_Caboto;NP#47276;NP#1250
Giovanni_da_Verrazzano;NP#45553;NP#1251
girare;V#38940;V#1976
Glasgow;NP#48326;NP#1154
goletta;N#10371;N#1517
golfo;N#29025;N#1518
Golfo_Arabico;NP#45582;NP#1198
gomena;N#20133;N#1519
gondola;N#18890;N#170
Goole;NP#46999;NP#1155
Goteborg;NP#48021;NP#2428
governale;N#20600;N#222
governare;V#35400;V#2722
gozzo;N#5389;N#374
grado_centesimale;N#50197;N#1893
grandezza;N#15257;N#501
grandine;N#28006;N#2535
Grangemouth;NP#47475;NP#1156
granito;N#29487;N#2078
grappino;N#1467;N#680
Great_Yarmouth;NP#45846;NP#1157
grecale;N#7398;N#1004
Greenock;NP#46349;NP#1158
grillo;N#18843;N#1531
grosso;AG#50013;AG#1809
gru;N#31747;N#775
guidone;N#8044;N#1537
guscio;N#49454;N#1539
Halmstad;NP#45920;NP#1159
Haugesund;NP#47561;NP#1160
Helsinki;NP#46946;NP#2344
Honolulu;NP#48364;NP#1161
Hudson;NP#46768;NP#1313
Hull;NP#47965;NP#1162
Ibiza;NP#48240;NP#1132
idrodinamica;N#20594;N#1564
idrografia;N#24894;N#1565
idroplano;N#936;N#172
idroscalo;N#1708;N#1567
idroscivolante;N#28308;N#173
idrostatica;N#31061;N#1569
idrovolante;N#18018;N#1571
igrometro;N#13806;N#1572
imballo;N#4701;N#258
imbarcare;V#32560;V#616
imbarcarsi;V#36984;V#55
imbarcatoio;N#15111;N#57
imbarcazione;N#5211;N#58
imbarco;N#27869;N#2253
imbracare;V#33363;V#1585
imbrogliare;V#33825;V#1587
imbuto;N#17296;N#1601
immergersi;V#33288;V#1602
immersione;N#7598;N#639
Immingham;NP#47376;NP#1163
impedimento;N#3579;N#2125
impermeabile;AG#44287;AG#1618
impianto;N#25059;N#1619
impiombare;V#40405;V#2640
impiombatura;N#10726;N#1609
import;N#6122;N#2183
importuoso;AG#44430;AG#1860
imposizione;N#17461;N#273
incagliarsi;V#40012;V#1440
incidente;N#29895;N#2131
inclinazione;N#16088;N#633
incocciare;V#37016;V#1627
incrociare;V#37375;V#1630
incrociatore;N#49585;N#552
incrocio;N#819;N#1629
indicatore;N#22862;N#1614
indice;N#12561;N#1615
inerente;AG#43026;AG#127
inferire;V#32637;V#1465
informativa;N#12808;N#2645
informazione;N#13397;N#2398
infrastruttura;N#27723;N#2011
ingaggio;N#20810;N#1631
insenatura;N#30695;N#1616
insieme;N#3134;N#635
intercontinentale;AG#44848;AG#2637
intermediatore;N#4338;N#263
invasatura;N#7244;N#1632
investimento;N#24057;N#1352
investire;V#40700;V#340
iole;N#9969;N#174
Ionio;NP#47260;NP#1964
Ipswich;NP#46722;NP#1164
isobara;N#15928;N#1607
isola;N#25993;N#2690
Isole_Ciclopi;NP#46489;NP#2589
Isole_Egadi;NP#46122;NP#2601
Isole_Tremiti;NP#48610;NP#2591
